,省份,时间,学科类别,批次,分数线
0,北京,2019年,文科,本科批,480
1,北京,2019年,理科,本科批,423
2,北京,2019年,文科,自主招生线,559
3,北京,2019年,理科,自主招生线,527
4,北京,2019年,文科,艺术类本科,335
5,北京,2019年,理科,艺术类本科,295
6,北京,2019年,文科,体育类本科,330
7,北京,2019年,理科,体育类本科,300
8,北京,2019年,文科,专科提前批面试线,120
9,北京,2019年,理科,专科提前批面试线,120
10,北京,2018年,文科,一批,576
11,北京,2018年,理科,一批,532
12,北京,2018年,文科,二批,488
13,北京,2018年,理科,二批,432
14,北京,2018年,文科,艺术类本科,340
15,北京,2018年,理科,艺术类本科,300
16,北京,2018年,文科,体育,340
17,北京,2018年,理科,体育,300
18,北京,2018年,文科,专科,150
19,北京,2018年,理科,专科,150
20,北京,2017年,文科,一批,555
21,北京,2017年,理科,一批,537
22,北京,2017年,文科,二批,468
23,北京,2017年,理科,二批,439
24,北京,2017年,文科,专科,150
25,北京,2017年,理科,专科,150
26,北京,2017年,文科,艺术,320
27,北京,2017年,理科,艺术,300
28,北京,2017年,文科,体育,320
29,北京,2017年,理科,体育,300
30,北京,2016年,文科,一批,583
31,北京,2016年,理科,一批,548
32,北京,2016年,文科,二批,532
33,北京,2016年,理科,二批,494
34,北京,2016年,文科,三批,488
35,北京,2016年,理科,三批,438
36,北京,2016年,文科,专科,150
37,北京,2016年,理科,专科,150
38,北京,2016年,文科,艺术类,346
39,北京,2016年,理科,艺术类,321
40,北京,2016年,文科,体育类,350
41,北京,2016年,理科,体育类,330
42,北京,2015年,文科,一批,579
43,北京,2015年,理科,一批,548
44,北京,2015年,文科,二批,527
45,北京,2015年,理科,二批,495
46,北京,2015年,文科,三批,477
47,北京,2015年,理科,三批,452
48,北京,2015年,文科,专科,150
49,北京,2015年,理科,专科,150
50,北京,2015年,文科,艺术类,342
51,北京,2015年,理科,艺术类,321
52,北京,2015年,文科,体育类,350
53,北京,2015年,理科,体育类,350
54,北京,2014年,文科,一批,565
55,北京,2014年,理科,一批,543
56,北京,2014年,文科,二批,507
57,北京,2014年,理科,二批,495
58,北京,2014年,文科,三批,458
59,北京,2014年,理科,三批,466
60,北京,2014年,文科,专科,150
