,school_id,name,nature,doublehigh,id,rank,rank_type,view_total,view_month,view_week,level_name,answerurl,type_name,f211,belong,colleges_level,school_type,single_province,type,is_recruitment,code_enroll,city_name,county_id,central,department,dual_class,level,admissions,county_name,province_name,nature_name,province_id,city_id,f985,is_top,dual_class_name,view_total_number,special,logo,num_subject,num_master,num_doctor,short,email,address,phone,site,create_date,area
0,102,厦门大学,36000,0,gkschool102,24,1,2393.5w,42741,3745,普通本科,https://m-view.eol.cn/h5/zsgk/answer_noresult.html?t=1111,综合类,1,教育部,,6000,,5000,1,1038400,厦门市,350203,2,2,38001,2001,1,思明区,福建,公办,35,3502,1,2,双一流,23934939,[],https://static-data.eol.cn/upload/logo/102.jpg,24,52,33,"xmu,厦大",zs@xmu.edu.cn,福建省厦门市思明区思明南路422号,"0592-2188888,0592-2180256",https://zsb.xmu.edu.cn/,1921,9000.00
1,42,武汉大学,36000,0,gkschool42,12,2,2065.5w,39277,3235,普通本科,https://answer.eol.cn/question/index?id=621&source=zsgk_app,综合类,1,教育部,,6000,,5000,1,1048600,武汉市,420106,2,1,38001,2001,1,武昌区,湖北,公办,42,4201,1,2,双一流,20654981,[],https://static-data.eol.cn/upload/logo/42.jpg,36,57,46,"武大,WHU",wlxxs@whu.edu.cn,湖北省武汉市武昌区八一路299号,027-68754231,http://aoff.whu.edu.cn/,0000,5195.00
2,99,四川大学,36000,0,gkschool99,15,3,2008.5w,71499,7404,普通本科,https://m-view.eol.cn/h5/zsgk/answer_noresult.html?t=1111,综合类,1,教育部,,6000,,5000,1,1061000,成都市,510107,2,1,38001,2001,1,武侯区,四川,公办,51,5101,1,2,双一流,20085449,[],https://static-data.eol.cn/upload/logo/99.jpg,48,0,45,"scu,川大",nic8401@scu.edu.cn,四川省成都市一环路南一段24号,"028-86081605,028-86080605",http://zs.scu.edu.cn,0000,7050.00
3,31,北京大学,36000,0,gkschool31,2,4,1788w,90342,8556,普通本科,https://m-view.eol.cn/h5/zsgk/answer_noresult.html?t=1111,综合类,1,教育部,,6000,,5000,1,1000100,北京市,110108,2,1,38001,2001,1,海淀区,北京,公办,11,1101,1,2,双一流,17879628,[],https://static-data.eol.cn/upload/logo/31.jpg,49,333,307,"pku,北大",bdzsb@pku.edu.cn,北京市海淀区颐和园路5号,"010-62751407,010-62554332",http://www.gotopku.cn,1898,7000.00
4,104,中山大学,36000,0,gkschool104,9,5,1683.5w,26743,2544,普通本科,https://m-view.eol.cn/h5/zsgk/answer_noresult.html?t=1111,综合类,1,教育部,,6000,,5000,1,1055800,广州市,0,2,1,38001,2001,1,,广东,公办,44,4401,1,2,双一流,16834883,[],https://static-data.eol.cn/upload/logo/104.jpg,40,56,49,中大,adado@mail.sysu.edu.cn,广东省广州市新港西路135号,"020-84036491,020-84111598",http://admission.sysu.edu.cn,1924,5000.00
5,140,清华大学,36000,0,gkschool140,1,6,1665.6w,34753,5943,普通本科,https://m-view.eol.cn/h5/zsgk/answer_noresult.html?t=1111,综合类,1,教育部,,6000,,5000,1,1000300,北京市,110108,2,1,38001,2001,1,海淀区,北京,公办,11,1101,1,2,双一流,16656112,[],https://static-data.eol.cn/upload/logo/140.jpg,39,63,55,"北京清华,清华",zsb@mail.tsinghua.edu.cn,北京市海淀区清华园1号,"010-62782051,010-62770334",http://www.join-tsinghua.edu.cn,1911,5886.00
6,123,中南大学,36000,0,gkschool123,21,7,1509.1w,38205,1715,普通本科,https://answer.eol.cn/question/index?id=698&source=zsgk_app,综合类,1,教育部,,6000,,5000,1,1053300,长沙市,0,2,1,38001,2001,1,,湖南,公办,43,4301,1,2,双一流,15091211,[],https://static-data.eol.cn/upload/logo/123.jpg,20,46,35,csu,admis@csu.edu.cn,湖南省长沙市麓山南路932号,0731-88830995,http://zhaosheng.csu.edu.cn/,2000,5886.00
7,114,浙江大学,36000,0,gkschool114,3,8,1492w,43272,7521,普通本科,https://m-view.eol.cn/h5/zsgk/answer_noresult.html?t=1111,综合类,1,教育部,,6000,,5000,1,1033500,杭州市,330106,2,1,38001,2001,1,西湖区,浙江,公办,33,3301,1,2,双一流,14920431,[],https://static-data.eol.cn/upload/logo/114.jpg,60,60,54,"zju,浙大",zsc@zju.edu.cn,浙江省杭州市西湖区余杭塘路388号,"0571-87951006,0571-88981979",http://zdzsc.zju.edu.cn,0000,8609.97
8,125,上海交通大学,36000,0,gkschool125,4,9,1465.9w,19163,1813,普通本科,,综合类,1,教育部,,6000,,5000,1,1024800,上海市,310112,2,1,38001,2001,1,闵行区,上海,公办,31,3101,1,2,双一流,14659297,[],https://static-data.eol.cn/upload/logo/125.jpg,36,56,38,"sjtu,交通大学,上海交大",zsb@sjtu.edu.cn,上海市东川路800号,"021-34200000,021-34207255",http://admissions.sjtu.edu.cn,0000,4500.00
9,111,南京大学,36000,0,gkschool111,8,10,1430.5w,53464,6081,普通本科,https://m-view.eol.cn/h5/zsgk/answer_noresult.html?t=1111,综合类,1,教育部,,6000,,5000,1,1028400,南京市,320106,2,1,38001,2001,1,鼓楼区,江苏,公办,32,3201,1,2,双一流,14305044,[],https://static-data.eol.cn/upload/logo/111.jpg,32,10,41,"nju,南大",bkzs@nju.edu.cn,仙林校区地址：江苏省南京市仙林大道163号;鼓楼校区地址：江苏省南京市汉口路22号,400-185-9680,http://bkzs.nju.edu.cn,1902,5532.23
10,126,山东大学,36000,0,gkschool126,23,11,1419.6w,22409,1648,普通本科,,综合类,1,教育部,,6000,,5000,1,1042200,济南市,370112,2,1,38001,2001,1,历城区,山东,公办,37,3701,1,2,双一流,14195919,[],https://static-data.eol.cn/upload/logo/126.jpg,27,55,44,"山大,SDU",sdbkzs@sdu.edu.cn,山东省济南市山大南路27号,0531-88364787,http://www.bkzs.sdu.edu.cn/,0000,8000.00
11,60,天津大学,36000,0,gkschool60,19,1,1415.9w,52108,3753,普通本科,https://answer.eol.cn/question/index?id=639&source=zsgk_app,理工类,1,教育部,,6000,,5001,1,1005600,天津市,120104,2,1,38001,2001,1,南开区,天津,公办,12,1201,1,2,双一流,14158770,[],https://static-data.eol.cn/upload/logo/60.jpg,25,37,28,"tju,天大",tdzb@tju.edu.cn,天津市南开区卫津路92号,"022-27405486,022-27401800",http://zs.tju.edu.cn/,0000,5754.00
