,province_id,year,types,score
0,13,2019,2,400.00
1,13,2019,1,344.00
2,13,2017,1,259.00
3,13,2017,2,232.00
4,14,2019,2,318.00
5,14,2019,1,130.00
6,14,2018,2,236.00
7,14,2018,1,150.00
8,14,2017,2,253.00
9,14,2017,1,217.00
10,15,2019,2,262.00
11,15,2019,1,169.00
12,15,2018,2,249.00
13,15,2018,1,189.00
14,15,2017,1,183.00
15,15,2017,2,178.00
16,22,2019,2,345.00
17,22,2019,1,331.00
18,22,2018,2,332.00
19,22,2018,1,260.00
20,22,2017,1,243.00
21,23,2019,2,340.00
22,23,2019,1,295.00
23,23,2018,2,313.00
24,23,2018,1,271.00
25,23,2017,2,283.00
26,23,2017,1,224.00
27,32,2019,1,264.00
28,32,2019,2,230.00
29,32,2018,1,248.00
30,32,2018,2,228.00
31,32,2017,1,233.00
32,32,2017,2,209.00
33,33,2019,3,496.00
34,33,2018,3,490.00
35,33,2017,3,488.00
36,34,2019,2,434.00
37,34,2019,1,204.00
38,34,2018,2,351.00
39,34,2018,1,220.00
40,34,2017,2,224.00
41,34,2017,1,201.00
42,35,2019,2,365.00
43,35,2019,1,253.00
44,35,2018,2,362.00
45,35,2018,1,270.00
46,35,2017,2,302.00
47,35,2017,1,249.00
48,36,2019,2,379.00
49,36,2019,1,356.00
50,36,2018,2,361.00
51,36,2018,1,324.00
52,36,2017,1,347.00
53,36,2017,2,342.00
54,37,2019,2,482.00
55,37,2019,1,417.00
56,37,2018,2,463.00
57,37,2018,1,381.00
58,37,2017,2,412.00
59,37,2017,1,367.00
60,42,2019,2,286.00
61,42,2019,1,247.00
62,42,2018,1,234.00
63,42,2018,2,200.00
64,42,2017,1,200.00
65,42,2017,2,200.00
66,43,2019,2,450.00
67,43,2019,1,353.00
68,43,2018,2,421.00
69,43,2018,1,330.00
70,43,2017,2,379.00
71,43,2017,1,300.00
72,44,2019,2,435.00
73,44,2019,1,357.00
74,44,2018,2,415.00
75,44,2018,1,318.00
76,44,2017,2,352.00
77,44,2017,1,262.00
78,45,2019,2,328.00
79,45,2019,1,263.00
80,45,2018,2,336.00
81,45,2018,1,230.00
82,45,2017,2,324.00
83,45,2017,1,261.00
84,46,2019,2,529.00
85,46,2019,1,469.00
86,46,2018,2,506.00
87,46,2018,1,481.00
88,46,2017,1,487.00
89,46,2017,2,486.00
90,50,2019,1,311.00
91,50,2019,2,300.00
92,50,2018,2,231.00
93,50,2018,1,219.00
94,50,2017,2,216.00
95,50,2017,1,161.00
96,51,2019,2,314.00
97,51,2019,1,150.00
98,51,2018,2,437.00
99,51,2018,1,249.00
100,51,2017,2,402.00
101,51,2017,1,180.00
102,52,2019,2,400.00
103,52,2019,1,288.00
104,52,2018,2,441.00
105,52,2018,1,351.00
106,52,2017,2,409.00
107,52,2017,1,330.00
108,53,2019,2,439.00
109,53,2019,1,372.00
110,53,2018,2,446.00
111,53,2018,1,366.00
112,53,2017,2,406.00
113,53,2017,1,342.00
114,61,2019,2,371.00
115,61,2019,1,354.00
116,61,2018,2,300.00
117,61,2017,1,267.00
118,62,2019,1,160.00
119,62,2019,2,160.00
120,62,2018,1,227.00
121,62,2018,2,212.00
122,62,2017,1,236.00
123,62,2017,2,219.00
124,63,2019,2,391.00
125,63,2019,1,336.00
126,63,2018,2,332.00
127,63,2018,1,311.00
128,63,2017,2,362.00
129,63,2017,1,319.00
130,64,2019,2,258.00
131,64,2019,1,210.00
132,64,2018,2,366.00
133,64,2018,1,266.00
134,64,2017,2,329.00
135,64,2017,1,256.00
136,65,2019,2,352.00
137,65,2019,1,299.00
138,65,2018,2,327.00
139,65,2018,1,299.00
140,65,2017,2,290.00
141,65,2017,1,285.00
142,41,2018,1,298.00
143,41,2018,2,294.00
144,41,2017,2,270.00
145,41,2017,1,206.00
146,21,2017,2,316.00
147,21,2017,1,240.00
