,limit_year,level2_name,special_id,degree,rank_type,view_week,view_total,level3_name,name,rank,rankall,id,spcode,level1,level3,level1_name,view_month,level2
0,四年,哲学,1,哲学学士,1,27,64334,哲学类,哲学,1096,15,gkspecial1,010101,1,34,本科,2499,3
1,四年,哲学,2,哲学学士,2,6,26075,哲学类,逻辑学,1095,53,gkspecial2,010102,1,34,本科,493,3
2,四年,哲学,3,哲学学士,4,6,16098,哲学类,宗教学,1094,697,gkspecial3,010103K,1,34,本科,403,3
3,四年,哲学,1098,哲学学士,3,50,19341,哲学类,伦理学,0,673,gkspecial1098,010104T,1,34,本科,195,3
4,四年,经济学,4,经济学学士,8,17,23382,经济学类,经济学,1093,76,gkspecial4,020101,1,35,本科,1567,4
5,四年,经济学,5,经济学学士,15,3,7673,经济学类,经济统计学,1092,843,gkspecial5,020102,1,35,本科,413,4
6,四年,经济学,1099,经济学学士,6,35,24940,经济学类,国民经济管理,0,64,gkspecial1099,020103T,1,35,本科,181,4
7,四年,经济学,1100,经济学学士,2,138,100007,经济学类,资源与环境经济学,0,11,gkspecial1100,020104T,1,35,本科,3380,4
8,四年,经济学,1101,经济学学士,1,167,408928,经济学类,商务经济学,0,2,gkspecial1101,020105T,1,35,本科,660,4
9,四年,经济学,1102,经济学学士,9,27,23219,经济学类,能源经济,0,82,gkspecial1102,020106T,1,35,本科,134,4
10,四年,经济学,8318,经济学学士,23,18,54,经济学类,劳动经济学,0,1325,gkspecial8318,020107T,1,35,本科,54,4
11,四年,经济学,8319,经济学学士,21,22,69,经济学类,经济工程,0,1320,gkspecial8319,020108T,1,35,本科,69,4
12,四年,经济学,8320,经济学学士,20,30,73,经济学类,数字经济,0,1319,gkspecial8320,020109T,1,35,本科,73,4
13,四年,经济学,6,经济学学士,3,8,62116,财政学类,财政学,1091,18,gkspecial6,020201K,1,36,本科,570,4
14,四年,经济学,7,经济学学士,16,3,5844,财政学类,税收学,1090,907,gkspecial7,020202,1,36,本科,291,4
15,四年,经济学,8,经济学学士,12,22,17860,金融学类,金融学,1089,680,gkspecial8,020301K,1,37,本科,1292,4
16,四年,经济学,9,经济学学士,4,10,52097,金融学类,金融工程,1088,25,gkspecial9,020302,1,37,本科,479,4
17,四年,经济学,10,经济学学士,18,28,4458,金融学类,保险学,1087,988,gkspecial10,020303,1,37,本科,141,4
18,四年,经济学,11,经济学学士,10,43,22670,金融学类,投资学,1086,104,gkspecial11,020304,1,37,本科,212,4
19,四年,经济学,1103,经济学学士,7,58,24324,金融学类,金融数学,0,67,gkspecial1103,020305T,1,37,本科,210,4
20,四年,经济学,1104,经济学学士,13,20,17617,金融学类,信用管理,0,681,gkspecial1104,020306T,1,37,本科,95,4
21,四年,经济学,1105,经济学学士,5,42,25151,金融学类,经济与金融,0,60,gkspecial1105,020307T,1,37,本科,190,4
22,四年,经济学,1263,经济学学士,17,43,5427,金融学类,精算学,0,928,gkspecial1263,020308T,1,37,本科,212,4
23,四年,经济学,8321,经济学学士,19,39,91,金融学类,互联网金融,0,1316,gkspecial8321,020309T,1,37,本科,91,4
